Gene,Functional module,Main function,Relationship to TIM-3 / exhaustion,Dominant cells
ANXA5,Apoptosis / PtdSer,Phosphatidylserine binding,Facilitates TIM-3–PtdSer interaction,Tumor
XKR8,Apoptosis / PtdSer,PtdSer scramblase,Exposes TIM-3 ligand during apoptosis,Tumor
PTDSS1,PtdSer synthesis,Phosphatidylserine synthesis,Increased TIM-3 ligand availability in FA stress,Tumor
PTDSS2,PtdSer synthesis,Phosphatidylserine synthesis,Reinforces TIM-3/PtdSer axis,Tumor
BAX,Apoptosis,Pro-apoptotic factor,DNA damage ? PtdSer exposure,Tumor
CASP3,Apoptosis,Executioner caspase,Indirect source of PtdSer,Tumor
BCL2,Apoptosis,Anti-apoptotic factor,Death–survival balance,Tumor
FANCA,Fanconi anemia,DNA repair,Genomic stress ? TIM-3–driven TME,Tumor
FANCC,Fanconi anemia,Genomic stability,FA context favors immunosuppression,Tumor
FANCD2,Fanconi anemia,ICL repair,FA–inflammation–TIM-3 hub,Tumor
ATM,DNA damage response,DDR sensor kinase,Chronic inflammation ? TIM-3,Tumor
ATR,DNA damage response,Replication stress sensor,Cooperates with ATM in FA,Tumor
TP53,DNA damage response,Tumor suppressor,Apoptosis ? PtdSer–TIM-3 axis,Tumor
STING1,Innate immunity,Cytosolic DNA sensor,DNA damage ? inflammation ? TIM-3,"Tumor, myeloid"
CD4,Cell identity,Helper T cell marker,Central TIM-3–associated population,CD4
CD8A,Cell identity,Cytotoxic T cell marker,Effector cells downstream of TIM-3,CD8
NKG7,Effector function,Cytotoxic machinery,Activation after TIM-3 relief,"CD8, NK"
PRF1,Effector function,Perforin,Restored cytotoxicity,"CD8, NK"
GZMB,Effector function,Granzyme B,Effective antitumor cytotoxicity,"CD8, NK"
